Feature,PrettyLabel,MeanImportance,StdImportance,CI_Low,CI_High
ThyroidW,Thyroid weight,0.19959508460918612,0.01980695116513007,0.191511118945295,0.20656982496194828
TPOAb,TPOAb,0.015494225087295189,0.005834119996795694,0.013312807771510435,0.017431249440415443
log1p_DiseaseDuration_Months_Aug,Log disease duration (months),0.013689452950129822,0.00589868355234414,0.011632604754230457,0.015649895917271023
Sex,Sex,0.0069531739636493695,0.004210782871580086,0.0054304548303339435,0.008426733592980523
FT4_0M,FT4 at baseline,0.005286059629331182,0.004531516792202574,0.003589494359387575,0.006793149565762382
TSH_0M,TSH at baseline,0.0013716536843047338,0.0014757925489142076,0.0008818325275315259,0.0018350512579460708
