Feature,PrettyLabel,MeanAbsSHAP,MeanSignedSHAP
ThyroidW,Thyroid weight,0.6674027408912301,0.0006423031434809979
log1p_DiseaseDuration_Months_Aug,Log disease duration (months),0.18884541768818086,-0.007002376261929379
TPOAb,TPOAb,0.17492523570661192,0.015236126366733084
Sex,Sex,0.11997141043276568,-0.020529716153854915
FT4_0M,FT4 at baseline,0.08524881736457848,0.0018893816046243546
TSH_0M,TSH at baseline,0.004793542520203349,0.004506053423651171
