Strategy,Strategy_Label,Cuts,Dev_Monotone_Q1Q2Q3Q4,Temporal_Monotone_Q1Q2Q3Q4,Dev_Fisher_Q1vQ2_p,Dev_Fisher_Q2vQ3_p,Dev_Fisher_Q3vQ4_p,Temporal_Fisher_Q1vQ2_p,Temporal_Fisher_Q2vQ3_p,Temporal_Fisher_Q3vQ4_p,Dev_Spread_Top_minus_Bottom,Temporal_Spread_Top_minus_Bottom
S1_sample_equal,S1 Sample-equal (current),0.2739;0.3322;0.4201,True,False,0.3242697725172168,0.00010214963293874756,6.432735306968766e-06,0.6361971310721369,0.1623905148272742,0.022255382192345977,0.4527363184079602,0.326923076923077
S2_events_equal,S2 Events-equal,0.3202;0.3965;0.5451,True,False,1.1716666776651881e-05,0.049497450887181424,1.0068462669879716e-06,0.07199741034510898,1.0,0.01871840239206738,0.5968038971068734,0.4407979407979408
S3_cum_rate_equal,S3 Cumulative-rate-equal,0.6015;0.8294;0.8294,False,False,6.056246157294625e-13,1.0,1.0,2.9544547915119186e-07,1.0,1.0,-0.32837837837837835,
S4_isotonic_binned,S4 Isotonic-binned,0.2629;0.3316;0.4056,True,False,0.2048146332723449,0.00028310818838408,5.61178785280329e-06,1.0,0.1297774841582978,0.11825059273184416,0.455779449676435,0.3199426111908178
S5_pred_rate_bands,S5 Predicted-rate-bands (0.20/0.35/0.55),0.2000;0.3500;0.5500,False,False,0.7193056710603801,3.879262695084828e-10,3.8886883398496446e-08,1.0,0.044272349934205646,0.002647467606906824,0.5184815184815185,
S6_bootstrap_monotone,"S6 Bootstrap-monotone (500 boots, median cuts)",0.2418;0.2550;0.5588,True,False,0.21754683916030934,0.136525051909444,2.563159158878521e-14,0.20145917115883788,0.06025025008777919,3.1395413167331104e-05,0.6531480431083381,0.4489164086687306
