feature,PrettyLabel,OR,CI_low,CI_high,p
Sex,Sex,0.8544161360706921,0.7250724710755555,1.006833058349418,0.06028722783541918
ThyroidW,Thyroid weight,2.6038792699603635,2.0773615880474843,3.2638454910981705,0.0
TPOAb,TPOAb,0.8274981857168814,0.6992203883639359,0.9793096121910058,0.027574911506749844
FT4_0M,FT4 at baseline,1.1133513019935346,0.9484860288330137,1.3068733581408702,0.18912162041844383
TSH_0M,TSH at baseline,1.1230916899260603,0.8608240957889759,1.4652644485107214,0.39226057900585976
log1p_DiseaseDuration_Months_Aug,Log disease duration (months),1.2327929840349117,1.0390164658762777,1.4627088129964938,0.01645416742471628
