Variant,Label,OOF_Delta_mean,OOF_Delta_CI_Low,OOF_Delta_CI_High,Tmp_Delta_mean,Tmp_Delta_CI_Low,Tmp_Delta_CI_High
v10,v10 (Full),0.0,0.0,0.0,0.0,0.0,0.0
v9,v9 (− TgAb),8.546773546905695e-06,-0.00365223277631839,0.0038174416683743185,-0.0054480685770754945,-0.011420896741018677,-0.0003979326269148759
v8,v8 (− TgAb − HalfLife),-0.00038452272992764235,-0.004863908040905701,0.00402842389324074,-0.005373718593131614,-0.011772260273972495,0.00020240555621680852
v6,v6 (drop 4 weakest),0.0014968406038241516,-0.009079361275808264,0.010732885850923163,-0.004267309979527275,-0.01808334420242596,0.0086294142980189
v4,v4 (Top-4 only),0.007656200575220189,-0.0075928879159029876,0.021371137287375275,-0.0013175393723490658,-0.018582049328953236,0.016333298308450542
