Method,OOF_Delta_mean,OOF_Delta_CI_Low,OOF_Delta_CI_High,Tmp_Delta_mean,Tmp_Delta_CI_Low,Tmp_Delta_CI_High
L2-Logistic (ours),0.0,0.0,0.0,0.0,0.0,0.0
RandomForest,-0.000313253734563223,-0.01801568683700473,0.017712681316108144,-0.015863897016477172,-0.04424609268359266,0.014302500984411647
ExtraTrees,-0.010128531528650304,-0.0275005249351792,0.007076331599896819,-0.004149146276501826,-0.033991822688161144,0.026554854026444905
GradientBoosting,-0.024252241999347886,-0.048385267340470814,0.0005192768976887181,-0.030809265435359286,-0.06995620225733862,0.010874175788488009
HistGradientBoosting,-0.02465908979128377,-0.04964725839199484,-0.00012924731835432,-0.037115618639717976,-0.07692816442816428,0.0016814690685659276
AdaBoost,-0.009310395760771072,-0.027583194675077048,0.00739971155838713,-0.01934479968132196,-0.04557123143207398,0.00539815049498434
DecisionTree,-0.020727884137790874,-0.0438770002696147,0.0028000716177836098,-0.04998459505406017,-0.09079602102102112,-0.007036812456296367
SVM-RBF,-0.0002739619687335152,-0.021356431417188234,0.021128854173072684,-0.006677736385397757,-0.04108830631097115,0.029953652431839704
LDA,0.0006608580559287872,-0.0012417452520731315,0.0026933924254632807,-0.0015557328773876606,-0.006086773903600876,0.0022250432194205853
