Variant,Label,K,Features,OOF_AUC_mean,OOF_AUC_CI_Low,OOF_AUC_CI_High,Tmp_AUC_mean,Tmp_AUC_CI_Low,Tmp_AUC_CI_High,OOF_Brier,Tmp_Brier,Tmp_CalibIntercept,Tmp_CalibSlope
v10,v10 (Full),10,Sex;ThyroidW;Uptake24h;HalfLife;TRAb;TGAb;TPOAb;FT4_0M;TSH_0M;log1p_DiseaseDuration_Months_Aug,0.7225092311512021,0.6862339527197352,0.7592273732811322,0.6852680179402901,0.6044007814524722,0.7626851130696181,0.20216643139435547,0.21081101943870728,0.2009835368878731,1.2629707446760372
v9,v9 (− TgAb),9,Sex;ThyroidW;Uptake24h;HalfLife;TRAb;TPOAb;FT4_0M;TSH_0M;log1p_DiseaseDuration_Months_Aug,0.7225177779247491,0.6863556232760015,0.7584457243551225,0.6798199493632147,0.5988297658973042,0.7567626897880113,0.20232684197621698,0.21185558533066295,0.19193787244404348,1.2326328814598178
v8,v8 (− TgAb − HalfLife),8,Sex;ThyroidW;Uptake24h;TRAb;TPOAb;FT4_0M;TSH_0M;log1p_DiseaseDuration_Months_Aug,0.7221247084212746,0.6855204897847004,0.7590664132504944,0.6798942993471585,0.6000019050908008,0.7571249682191739,0.2020290324328254,0.21180131676691258,0.18298315310967686,1.2206627148887537
v6,v6 (drop 4 weakest),6,Sex;ThyroidW;TPOAb;FT4_0M;TSH_0M;log1p_DiseaseDuration_Months_Aug,0.7240060717550264,0.6867331877855638,0.7584615321031751,0.6810007079607628,0.601727010363374,0.7579346484138132,0.19959499412784662,0.2115205195989045,0.10012385323957733,1.0977251846799272
v4,v4 (Top-4 only),4,ThyroidW;log1p_DiseaseDuration_Months_Aug;TPOAb;Sex,0.7301654317264225,0.6931310958909952,0.7639209228757103,0.6839504785679411,0.6074372490763875,0.7605826972762457,0.19484251524753893,0.21218041796019457,-0.08691734799236349,0.7513468207281755
