ClassWeight,OOF_AUC_mean,OOF_AUC_CI_Low,OOF_AUC_CI_High,Temporal_AUC_mean,Temporal_AUC_CI_Low,Temporal_AUC_CI_High,Temporal_Brier,Temporal_CalibIntercept,Temporal_CalibSlope
default(None),0.7240060717550264,0.6867331877855638,0.7584615321031751,0.6810007079607628,0.601727010363374,0.7579346484138132,0.2115205195989045,0.10012385323957733,1.0977251846799272
balanced,0.7239765257027211,0.6869860563676947,0.7594422862873453,0.6797357932905238,0.6001962809917356,0.7571228057277435,0.211494151499147,0.09979180526785085,1.101100584682192
