Method,OOF_AUC_mean,OOF_AUC_CI_Low,OOF_AUC_CI_High,Tmp_AUC_mean,Tmp_AUC_CI_Low,Tmp_AUC_CI_High,OOF_PR_AUC,Tmp_PR_AUC,OOF_Brier,Tmp_Brier
L2-Logistic (ours),0.723303776446521,0.6863662848711282,0.7584022917890391,0.6810981683546309,0.601727010363374,0.7581337499045216,0.61530915937184,0.6637172668017484,0.1995328657291983,0.21151591112404924
RandomForest,0.7229905227119577,0.6856727813418872,0.7604879721552077,0.6652342713381537,0.5792753429931077,0.7462907841502975,0.6061026616665397,0.6275777984280928,0.19623824165767603,0.22008073908153278
GradientBoosting,0.699051534447173,0.6575217618680106,0.7357610676255967,0.6502889029192715,0.5708857640467156,0.732482148842443,0.5686540789709913,0.5983785792081299,0.2057848985153894,0.22324455619079125
AdaBoost,0.7139933806857498,0.6742790982667287,0.7514267534023777,0.6617533686733088,0.5772215065259134,0.7445605172963495,0.5950989593272872,0.6216037160279515,0.19956673881053627,0.21801618428628353
DecisionTree,0.7025758923087301,0.6622435500768189,0.7399122807017544,0.6311135733005708,0.5478279145199877,0.7126093478981737,0.5825819221507471,0.5521901523213487,0.20284377584981247,0.22795059744926993
KNN,0.7023619800799924,0.6654435163345975,0.7393160557134468,0.6829851544138006,0.6000030015224744,0.7631789282011928,0.5993906471490085,0.6421951888301944,0.20213520699395648,0.2160039013770037
SVM-RBF,0.7230298144777874,0.6852724949019391,0.7601745432677828,0.6744204319692332,0.5867661842248202,0.7528755144032923,0.6181975840563032,0.590542889224515,0.19707178680039578,0.22186341918517885
GaussianNB,0.6653690074214201,0.6289037707189079,0.7026542597176336,0.6804889645752488,0.5964681091396846,0.7578443221511002,0.568187690381942,0.6617246829732719,0.21052095980573166,0.21044922782515765
MLP,0.6882555261815338,0.6510493004297551,0.7260746025139428,0.687458696655549,0.6006044197954358,0.7660271299787429,0.5668022993290815,0.6648303355452571,0.2090262437048171,0.2118844466599681
