Tier,N,Events,ObservedEventRate,NPV,CI_Low,CI_High,Split
Q1,166,28,0.1686746987951807,0.8313253012048193,0.11935554181412962,0.23298162742715822,Dev_OOF
Q2,232,52,0.22413793103448276,0.7758620689655172,0.17522031289001047,0.2820422030388957,Dev_OOF
Q3,175,69,0.3942857142857143,0.6057142857142856,0.32489728827425557,0.4682155601447674,Dev_OOF
Q4,229,143,0.6244541484716157,0.37554585152838427,0.5601656686217056,0.6846360960154694,Dev_OOF
Q1,41,11,0.2682926829268293,0.7317073170731707,0.1569496404781167,0.41933533107076637,Temporal_Test
Q2,49,13,0.2653061224489796,0.7346938775510203,0.16211282134957408,0.4026228897131079,Temporal_Test
Q3,43,18,0.4186046511627907,0.5813953488372092,0.28384550927849195,0.5667142261303578,Temporal_Test
Q4,68,40,0.5882352941176471,0.4117647058823529,0.46961466753105385,0.697419802494816,Temporal_Test
